나이,성별,연소득,근속연수,주거형태,신용점수,기존대출건수,연간카드사용액,부채비율,대출신청액,대출목적,상환방식,대출기간,승인여부
31,여,3200,2,전세,580,3,1040,41.4,2400,전세자금,원리금균등,24,1
36,여,3000,0,월세,664,1,1360,26.1,5400,자동차,원리금균등,24,0
40,남,4000,5,월세,644,0,1420,53.4,1300,사업자금,원금균등,48,1
51,여,4000,11,월세,588,0,1960,43.1,3900,자동차,원리금균등,36,0
45,남,2900,4,자가,603,1,520,35.8,1700,생활비,원금균등,60,1
36,여,3700,2,자가,593,4,1680,46.1,5200,전세자금,원금균등,24,0
37,남,6500,5,전세,630,1,2410,21.3,2400,사업자금,원리금균등,36,1
28,여,2600,2,전세,624,0,1220,10.6,3900,사업자금,원리금균등,60,1
37,여,3700,3,월세,640,1,1490,40.9,3000,사업자금,원금균등,48,0
35,남,4500,8,전세,574,3,1440,27.5,1400,자동차,만기일시,48,1
40,여,2500,0,자가,576,1,1730,16.6,4100,사업자금,원금균등,24,0
30,여,4700,5,자가,541,1,1220,21.3,2000,생활비,원금균등,48,1
42,여,4100,4,자가,487,1,2290,53.8,4400,사업자금,원리금균등,36,0
51,여,7700,10,전세,605,0,5420,29.6,1800,자동차,원리금균등,36,1
37,여,2700,6,월세,550,1,1270,38.1,3300,의료비,원금균등,36,0
41,여,6500,7,월세,467,1,4390,59.6,3000,사업자금,원리금균등,36,1
44,남,5600,7,월세,659,1,1250,15.3,2200,사업자금,만기일시,48,1
34,남,4200,3,자가,335,0,1870,30.5,5900,전세자금,원리금균등,48,0
40,남,4400,6,자가,791,2,1860,17.9,3000,교육비,원리금균등,12,1
38,여,3200,9,자가,697,0,490,46.9,2400,의료비,원금균등,36,1
38,남,5600,8,전세,575,1,2320,55.1,3400,자동차,원금균등,48,1
31,여,3000,1,월세,535,1,1110,29.5,1400,사업자금,원금균등,24,1
38,여,1900,11,전세,598,1,1040,30.7,10200,생활비,만기일시,36,0
42,남,3000,2,전세,492,1,2130,58.8,1700,자동차,만기일시,24,0
51,여,4400,18,전세,649,4,880,45.6,3900,자동차,만기일시,36,0
46,여,4600,12,자가,594,0,1590,24.8,3000,자동차,원금균등,60,1
57,남,5500,4,자가,567,0,2290,32.2,5400,생활비,원금균등,24,1
31,남,4700,5,전세,586,1,1980,16.7,3200,사업자금,원금균등,36,1
45,남,2500,11,전세,474,0,1530,21.6,2100,주택구입,원리금균등,48,1
39,남,4200,7,자가,580,1,1740,50.1,1100,자동차,원리금균등,12,1
57,남,3200,8,전세,585,0,530,18.3,1200,주택구입,원리금균등,60,1
30,여,3500,3,월세,560,0,2010,17.7,2600,사업자금,원리금균등,36,1
30,여,2700,1,전세,514,1,1830,34.0,5900,주택구입,원리금균등,60,0
32,여,3400,3,월세,640,2,1550,29.3,1300,생활비,원리금균등,12,1
23,남,2000,0,전세,491,0,990,16.1,7500,사업자금,만기일시,24,0
33,여,4500,8,전세,603,1,1110,19.1,5100,생활비,원금균등,36,1
31,남,4500,3,월세,663,1,1270,39.0,1500,사업자금,원리금균등,36,1
39,남,4800,5,월세,566,0,1390,21.6,1700,교육비,원리금균등,48,1
41,남,4000,9,자가,602,2,1630,30.1,1800,의료비,원금균등,12,1
54,여,5900,24,자가,671,2,4170,46.6,3400,주택구입,원금균등,36,1
46,남,3700,5,자가,660,3,1710,80.6,2900,자동차,만기일시,24,1
32,남,4400,5,자가,548,0,1160,28.0,2800,주택구입,만기일시,48,1
29,남,5100,2,월세,663,3,1570,46.1,2300,교육비,만기일시,48,0
42,여,5300,7,월세,579,1,2010,55.6,3200,자동차,원리금균등,36,1
26,남,2300,0,전세,454,1,1200,61.6,4500,생활비,원리금균등,24,0
54,여,5500,15,자가,684,3,2270,28.9,2800,전세자금,원금균등,36,1
48,여,3000,14,자가,575,0,1150,29.4,2100,주택구입,원리금균등,24,1
33,여,3600,7,전세,620,1,1750,55.4,4900,자동차,원금균등,24,0
23,남,2900,0,전세,310,1,850,48.9,2600,전세자금,원리금균등,36,0
50,남,2800,9,자가,573,2,550,35.6,3900,사업자금,원금균등,60,1
36,여,2300,2,월세,496,2,370,54.0,2800,사업자금,원리금균등,60,0
49,여,4100,1,자가,460,3,1230,24.2,5100,의료비,원리금균등,36,0
23,남,2300,0,월세,478,1,470,34.4,5500,의료비,원금균등,36,0
32,여,2000,4,월세,494,0,700,58.0,5400,전세자금,만기일시,60,0
38,여,3900,6,전세,565,1,2390,33.4,2200,자동차,원리금균등,36,1
38,여,3800,3,전세,443,3,2200,36.9,2200,자동차,만기일시,36,0
33,남,3300,0,전세,558,2,1700,75.2,4600,교육비,원금균등,60,0
43,여,3100,16,전세,720,0,2050,45.0,2900,생활비,원금균등,24,1
28,여,3600,4,전세,578,2,1140,26.3,2900,주택구입,원금균등,12,1
36,여,5500,10,전세,669,3,3740,44.8,2100,주택구입,원금균등,36,1
39,남,3400,12,월세,681,1,1320,37.6,6000,전세자금,원리금균등,12,0
42,남,3500,8,전세,673,1,1360,51.8,5000,생활비,원리금균등,36,1
44,남,5200,5,자가,726,2,2040,83.9,2800,전세자금,만기일시,36,1
27,여,2200,1,전세,487,3,450,47.5,2100,사업자금,원금균등,36,0
24,남,2500,0,자가,467,2,1830,40.7,2100,전세자금,원리금균등,60,0
49,여,5600,7,자가,653,2,1300,29.7,3200,사업자금,원금균등,24,1
40,남,2300,8,전세,619,1,810,68.1,3600,생활비,원리금균등,36,1
31,남,4900,1,자가,616,0,1670,61.1,1900,교육비,원리금균등,24,1
51,남,5200,12,자가,763,0,1010,39.6,1600,의료비,원리금균등,36,1
39,남,3500,2,월세,545,1,840,66.1,3100,사업자금,원리금균등,48,0
48,남,4700,10,자가,631,2,830,37.0,4600,교육비,원리금균등,36,1
38,여,3500,6,월세,486,1,1130,49.6,3100,생활비,원리금균등,24,1
56,남,3300,24,전세,823,0,2210,20.4,2600,자동차,원금균등,36,1
53,여,7600,4,자가,569,3,2680,68.4,1700,생활비,원리금균등,36,1
35,남,3700,3,월세,527,3,820,46.1,2100,전세자금,원리금균등,24,0
46,여,4800,6,전세,550,3,2570,34.0,4600,주택구입,원리금균등,36,0
43,여,5300,11,자가,556,1,3960,54.1,1600,사업자금,원리금균등,36,1
50,남,3700,13,자가,543,1,1070,13.9,7200,주택구입,원리금균등,60,1
29,여,3100,3,월세,504,0,980,49.5,3100,사업자금,원리금균등,48,0
44,남,4100,9,월세,476,1,3000,40.3,1300,주택구입,원리금균등,48,1
47,남,6100,4,전세,518,0,1560,54.9,3800,교육비,원금균등,60,1
23,여,1500,0,전세,670,1,680,21.8,3700,사업자금,원리금균등,48,0
27,여,2400,2,월세,592,3,700,47.5,2400,주택구입,원리금균등,60,0
23,남,2100,0,전세,595,2,1480,36.1,4700,주택구입,원리금균등,12,0
35,여,3700,3,전세,646,2,2730,44.8,2200,교육비,원리금균등,36,1
44,남,5100,1,전세,702,0,3250,26.4,4100,전세자금,원금균등,48,1
51,남,4100,5,전세,424,0,1380,42.0,2900,전세자금,원리금균등,36,1
38,남,3100,8,월세,472,1,1210,29.4,2600,사업자금,원리금균등,24,1
52,남,5000,6,전세,515,0,1470,33.1,5800,주택구입,원리금균등,36,0
25,남,2100,2,월세,493,1,1430,19.8,4900,주택구입,원금균등,36,0
23,남,3300,0,전세,508,1,2300,64.7,1700,전세자금,원리금균등,24,1
37,여,3000,5,월세,519,1,1200,16.3,3600,주택구입,원금균등,36,1
41,여,1500,11,월세,587,1,810,26.9,7700,주택구입,원리금균등,36,0
37,남,3400,7,자가,571,2,840,51.8,5900,생활비,원리금균등,60,0
23,남,1900,0,전세,461,3,780,68.6,1900,주택구입,원금균등,48,0
37,남,2300,11,전세,403,1,1210,24.8,6600,주택구입,원금균등,48,0
26,남,1900,1,월세,444,0,720,39.4,4700,의료비,원금균등,60,0
44,남,4600,0,전세,502,3,1670,24.1,1700,사업자금,원리금균등,36,1
41,남,6200,9,자가,587,1,930,38.7,3300,자동차,원리금균등,36,1
29,남,3400,4,월세,463,0,2150,54.7,3800,생활비,원리금균등,12,0
33,여,2500,1,자가,490,0,1700,48.1,1700,생활비,원금균등,60,1
28,남,3400,4,월세,463,1,2480,22.1,4200,자동차,원금균등,12,0
37,여,3000,12,전세,579,2,1740,47.9,10100,사업자금,원리금균등,48,0
46,남,3700,13,자가,516,0,1770,24.7,5900,생활비,원금균등,36,1
29,남,2200,0,전세,454,3,680,29.6,3200,전세자금,원금균등,60,0
42,남,2500,8,자가,460,1,1870,26.7,2600,전세자금,원리금균등,36,1
33,여,2700,2,전세,524,3,1360,39.7,3500,교육비,만기일시,48,0
30,여,2900,4,전세,479,1,1620,26.9,1800,생활비,원금균등,24,1
37,남,3700,2,자가,619,0,2060,33.4,2300,사업자금,원리금균등,24,1
28,여,2300,4,전세,575,2,1510,32.5,1100,자동차,만기일시,36,1
33,남,2600,4,자가,540,0,400,12.8,3700,의료비,원리금균등,60,1
27,여,3000,1,월세,471,1,840,35.5,2500,자동차,원금균등,36,0
55,여,3400,8,전세,604,0,1860,53.2,4000,주택구입,원금균등,60,1
38,여,4400,4,자가,619,0,3020,33.2,3100,자동차,원리금균등,48,1
31,남,2400,3,전세,550,2,1340,41.8,1800,자동차,원리금균등,48,1
39,남,3200,0,자가,660,1,1270,30.8,3300,자동차,만기일시,36,1
36,여,2100,7,월세,592,1,770,28.0,2000,자동차,원리금균등,36,1
36,여,2800,4,월세,621,3,1650,42.4,6800,교육비,원리금균등,24,0
43,여,5300,11,전세,618,1,3150,35.1,1900,생활비,원리금균등,60,1
44,여,4700,13,월세,666,1,2410,42.5,2300,생활비,만기일시,60,1
33,남,4600,6,월세,512,0,1490,36.8,1800,자동차,만기일시,48,1
32,남,3900,4,월세,522,2,2740,33.4,1700,주택구입,원리금균등,24,1
35,여,2300,6,전세,580,3,1100,40.4,3000,생활비,만기일시,24,0
23,여,1900,0,전세,546,1,1180,28.6,1600,전세자금,원리금균등,60,0
24,남,2100,0,전세,561,4,580,68.2,2700,자동차,만기일시,12,0
50,남,7400,13,자가,727,0,2630,45.1,3700,생활비,원금균등,48,1
52,남,3600,15,전세,497,0,2420,22.8,2400,사업자금,원리금균등,36,0
35,여,4200,10,자가,514,1,750,22.8,900,생활비,원리금균등,36,1
43,남,5700,17,자가,660,1,2600,30.5,5800,생활비,원리금균등,48,1
40,여,6400,1,전세,511,3,2800,57.0,3400,주택구입,원리금균등,12,0
65,남,5600,26,자가,900,0,3360,14.4,3400,생활비,원금균등,36,1
48,남,6000,4,전세,621,2,1910,32.2,2600,교육비,원리금균등,60,1
36,여,6600,5,월세,584,0,1850,49.8,4400,교육비,만기일시,48,1
29,여,2200,1,월세,485,0,1550,22.1,4700,자동차,원금균등,48,0
23,여,1500,0,월세,476,3,730,72.6,5000,주택구입,원금균등,48,0
39,여,2000,1,전세,527,2,420,45.3,3400,전세자금,원리금균등,12,0
31,여,3600,5,전세,569,4,950,41.9,1500,생활비,만기일시,24,1
25,여,1500,1,전세,483,2,1120,39.9,3600,주택구입,원금균등,36,0
32,남,3000,8,월세,548,1,800,34.8,3400,전세자금,만기일시,36,1
28,남,3400,3,전세,656,2,1750,33.4,2200,자동차,만기일시,36,1
53,여,5100,3,자가,676,2,2050,27.7,2000,생활비,원리금균등,48,1
45,남,5200,14,전세,642,2,3540,22.7,3900,주택구입,원리금균등,12,1
37,여,3600,3,자가,443,1,2170,19.5,2800,교육비,원금균등,48,1
51,남,7500,12,자가,678,1,3810,22.6,2400,전세자금,만기일시,12,1
38,여,2600,2,자가,660,2,400,44.5,6900,의료비,원금균등,12,0
30,남,2600,6,자가,665,1,1760,43.7,4100,의료비,원리금균등,36,0
51,남,4000,7,자가,633,4,1660,61.1,3700,전세자금,원금균등,48,1
42,남,5500,4,자가,688,2,3890,35.7,5500,주택구입,원리금균등,24,1
28,남,3900,4,월세,563,2,1740,18.7,3500,자동차,원리금균등,36,1
36,여,3800,3,월세,603,1,2150,42.8,2100,생활비,원리금균등,48,1
30,남,4600,5,전세,516,1,880,61.4,2400,주택구입,원리금균등,24,1
25,여,1600,1,월세,544,1,950,32.7,4300,자동차,원리금균등,36,0
46,여,7000,7,자가,711,1,2460,47.8,4100,전세자금,만기일시,60,1
55,여,8000,3,자가,547,3,2880,56.6,3700,주택구입,원금균등,36,1
25,남,3400,1,전세,470,0,750,52.5,1600,사업자금,만기일시,24,1
43,여,6800,16,전세,655,2,1610,55.3,4500,자동차,원금균등,36,1
32,남,2000,4,전세,521,0,520,20.3,2900,생활비,원리금균등,36,1
33,남,2900,8,전세,620,0,1000,26.7,4000,주택구입,원금균등,12,1
32,남,2700,2,월세,500,0,1840,51.8,1900,주택구입,만기일시,12,0
30,남,4000,3,전세,692,0,1480,12.5,8000,주택구입,만기일시,24,0
38,남,2800,4,전세,444,3,1630,61.4,3300,자동차,원금균등,24,0
30,여,3500,5,월세,660,3,690,24.6,2400,자동차,원리금균등,24,1
40,여,5600,5,자가,519,2,2820,34.3,4100,사업자금,원리금균등,36,1
37,여,4200,6,전세,428,3,1840,26.2,4600,생활비,원리금균등,36,0
35,여,3500,7,월세,589,1,2570,22.3,4100,생활비,만기일시,60,0
29,여,2000,5,월세,524,1,1310,61.1,1800,주택구입,원리금균등,36,0
32,여,2300,7,자가,469,2,970,46.1,5300,주택구입,만기일시,60,0
44,남,6500,1,자가,435,1,3990,35.0,2500,생활비,원리금균등,36,1
42,남,5400,11,전세,608,0,1430,40.9,2900,전세자금,원금균등,12,1
29,여,2700,2,전세,615,1,1310,26.5,900,생활비,원리금균등,36,1
38,남,3400,7,자가,615,1,660,25.3,2300,자동차,원리금균등,48,1
44,여,2200,10,월세,576,0,780,17.3,2300,자동차,원리금균등,24,1
23,남,1800,0,월세,556,2,510,49.5,3700,사업자금,원금균등,12,0
42,남,7600,10,전세,623,3,4410,49.8,2300,생활비,원리금균등,36,1
32,남,2300,2,전세,418,2,1020,70.6,1300,교육비,원금균등,36,0
43,여,4200,2,월세,438,5,2520,66.6,3300,의료비,원리금균등,36,0
31,남,4400,5,자가,552,3,2020,32.9,2600,주택구입,원금균등,24,1
23,남,1700,0,전세,504,2,340,39.7,2000,자동차,원리금균등,24,0
23,남,2700,0,월세,595,5,1590,60.5,3100,교육비,원금균등,48,0
38,남,5200,5,월세,637,1,3370,30.9,1200,전세자금,원리금균등,36,1
40,남,4100,13,자가,654,1,2830,41.6,4000,주택구입,원금균등,36,1
29,여,6400,3,월세,556,0,3150,6.4,2700,전세자금,원리금균등,36,1
43,여,2400,13,전세,478,1,1440,69.5,2600,전세자금,원금균등,36,0
23,여,3000,0,전세,562,2,1800,34.1,4800,전세자금,만기일시,24,0
37,남,3600,4,전세,598,0,870,47.9,2200,교육비,원리금균등,36,1
27,남,3700,1,전세,350,3,910,21.9,3400,자동차,원리금균등,12,0
32,여,3400,4,월세,487,2,650,48.9,2800,주택구입,원금균등,36,0
38,남,3100,12,월세,535,0,1060,19.5,14900,사업자금,원금균등,36,0
30,남,3400,2,전세,553,1,1470,18.4,3800,사업자금,원리금균등,24,0
34,남,2000,5,월세,480,0,1490,39.6,1600,생활비,원리금균등,24,0
47,남,5700,12,월세,613,3,2320,40.4,7200,주택구입,원리금균등,24,0
32,남,3700,2,전세,530,1,2160,29.9,5000,교육비,원리금균등,12,0
45,여,5000,16,전세,617,2,2830,19.5,3000,사업자금,원리금균등,36,1
27,남,4000,1,전세,487,0,1090,37.4,2400,주택구입,원금균등,60,1
42,여,4300,10,전세,541,2,790,20.6,1500,생활비,원리금균등,36,1
50,남,5200,15,자가,540,3,2480,51.5,3700,전세자금,원금균등,36,1
23,여,1600,0,월세,546,2,910,74.5,2100,전세자금,만기일시,48,0
30,남,2600,3,자가,586,0,1940,18.4,1900,주택구입,원리금균등,36,1
43,남,6200,4,월세,520,0,2260,24.6,4400,사업자금,원금균등,60,1
36,여,5100,10,월세,722,1,3500,42.3,6400,생활비,만기일시,60,0
41,남,3900,0,자가,513,2,1470,45.5,2300,생활비,원리금균등,48,1
32,남,3400,3,전세,671,0,1910,29.6,4400,전세자금,원리금균등,60,1
38,남,3000,7,전세,513,1,1520,22.2,3300,생활비,만기일시,24,0
36,남,5300,6,전세,420,3,960,46.0,3500,교육비,만기일시,36,0
48,남,5900,7,자가,626,0,1160,24.5,1900,생활비,원리금균등,60,1
40,여,6600,9,전세,630,1,1070,57.1,2600,사업자금,원리금균등,36,1
41,여,2900,9,자가,576,2,1080,50.6,1700,전세자금,원리금균등,60,1
34,여,2800,7,자가,511,1,1670,16.6,1600,전세자금,원리금균등,24,1
33,남,3700,6,자가,564,2,930,50.5,3800,자동차,원리금균등,36,1
34,여,3800,6,자가,527,1,1950,32.0,2300,전세자금,원금균등,60,1
41,남,3900,11,전세,569,0,1260,37.9,1800,자동차,만기일시,36,1
34,남,2700,5,월세,619,0,1690,27.0,1600,전세자금,원리금균등,48,1
40,남,5300,4,자가,587,2,3330,38.5,1400,사업자금,원금균등,12,1
56,남,6900,7,전세,652,0,4240,23.4,1100,자동차,원리금균등,48,1
45,남,3400,10,자가,565,0,1580,20.7,3100,사업자금,원리금균등,60,1
35,여,4900,2,전세,531,0,1570,24.2,800,사업자금,원리금균등,36,1
48,남,6800,1,자가,480,1,4320,25.0,3700,자동차,원리금균등,12,1
34,남,3700,8,전세,547,0,960,63.7,3700,의료비,원리금균등,12,1
23,남,2600,0,월세,300,3,840,34.3,2800,주택구입,만기일시,60,0
28,남,3600,1,전세,493,1,930,20.8,3100,사업자금,원리금균등,48,1
23,여,1600,0,월세,509,0,880,21.6,2600,생활비,원금균등,24,0
34,여,3200,3,자가,592,0,1790,30.6,3300,주택구입,원리금균등,12,1
38,남,2000,7,전세,533,2,1080,28.3,3300,전세자금,원리금균등,48,0
53,남,6800,7,자가,630,2,2710,28.6,5700,교육비,원금균등,48,1
40,남,2500,5,자가,375,3,520,25.4,6400,전세자금,원금균등,24,0
36,남,5900,7,자가,589,0,4110,4.6,6300,자동차,원리금균등,36,1
45,여,3700,3,자가,417,0,1680,34.3,2000,생활비,원금균등,48,1
23,남,2400,0,전세,427,4,940,35.5,4300,전세자금,만기일시,36,0
40,남,3400,2,자가,529,3,1710,52.4,3800,교육비,원금균등,60,1
44,남,4100,4,전세,663,0,1080,31.5,2100,주택구입,원리금균등,36,1
24,남,4100,0,월세,570,2,940,30.7,1900,생활비,원금균등,48,1
48,남,2200,10,자가,573,3,860,41.3,2400,전세자금,원리금균등,36,1
41,여,5600,7,자가,589,1,1600,28.1,1700,자동차,원금균등,60,1
34,남,3900,0,전세,481,1,1150,41.5,1400,전세자금,원리금균등,36,1
43,남,3000,7,월세,521,2,2050,22.9,3800,전세자금,원리금균등,24,0
58,남,4100,4,전세,595,2,1920,44.9,3000,사업자금,원금균등,36,0
39,남,6600,13,전세,520,0,2900,52.5,3000,주택구입,원리금균등,60,1
40,여,2800,10,자가,625,0,1570,50.7,4700,자동차,원리금균등,36,1
33,여,2100,5,전세,514,0,1510,17.4,2700,생활비,만기일시,36,0
30,여,3900,4,전세,625,2,840,53.9,4500,전세자금,만기일시,36,0
45,남,5000,7,월세,661,1,3250,58.5,2000,사업자금,원리금균등,24,1
30,여,2100,4,월세,407,0,1050,33.3,2000,자동차,원리금균등,12,0
38,여,3700,3,자가,505,1,870,38.0,3000,자동차,원리금균등,24,1
33,남,2500,4,전세,476,2,820,22.4,8600,자동차,원리금균등,36,0
42,여,5400,3,자가,423,0,2370,40.4,5700,주택구입,만기일시,48,0
41,남,5800,16,자가,555,3,3270,21.8,5100,생활비,원금균등,48,1
47,남,5500,1,월세,755,3,1620,37.1,1500,주택구입,원리금균등,60,1
33,남,3900,1,전세,592,4,1830,62.7,3200,교육비,원리금균등,36,1
35,여,5500,2,전세,718,0,3080,36.2,4500,교육비,원금균등,48,1
29,여,2700,5,전세,618,0,1130,45.0,8500,의료비,원금균등,12,0
34,남,2500,4,월세,485,2,1660,54.0,1200,생활비,원금균등,12,0
41,남,4800,4,전세,537,2,3220,40.8,4300,전세자금,원리금균등,24,1
44,남,8300,11,전세,685,0,3580,31.5,5100,사업자금,원리금균등,36,1
29,여,2000,5,전세,580,1,1460,48.9,3700,자동차,원리금균등,24,0
45,남,4100,8,자가,534,1,800,60.7,1500,사업자금,원리금균등,24,1
50,남,5600,3,월세,450,3,850,42.8,3400,자동차,원리금균등,36,1
41,남,4100,3,전세,819,1,1550,25.1,3700,주택구입,원금균등,36,1
54,남,4000,20,자가,628,1,2040,46.5,3200,생활비,원리금균등,36,1
31,남,4600,5,전세,544,2,2420,38.5,2100,주택구입,만기일시,36,1
26,남,5700,1,월세,571,0,2480,55.9,2000,생활비,원리금균등,24,1
23,여,2300,0,전세,503,2,510,32.5,3700,주택구입,원리금균등,12,0
51,남,3900,13,자가,613,1,980,39.2,2100,생활비,원리금균등,24,1
43,여,2500,11,전세,682,1,1650,30.7,2100,주택구입,원리금균등,12,1
37,여,3700,7,전세,562,2,2480,61.6,2700,사업자금,만기일시,36,0
40,여,5100,10,전세,507,1,2820,26.2,3200,교육비,원리금균등,48,1
27,여,2900,1,월세,521,1,1590,33.9,5000,교육비,원리금균등,36,0
60,여,5500,25,자가,642,0,2790,51.1,1600,주택구입,만기일시,36,1
39,여,3000,13,자가,708,0,810,29.9,1500,생활비,원리금균등,48,1
38,남,2800,7,월세,656,1,1130,37.1,2400,생활비,원리금균등,24,1
44,남,5700,8,자가,605,3,3230,45.2,1200,의료비,원리금균등,24,1
42,여,5100,1,전세,453,0,2400,39.4,4000,전세자금,원리금균등,36,0
40,남,2500,5,전세,451,2,400,22.5,1100,생활비,원리금균등,36,1
30,남,5200,5,전세,578,2,3750,33.0,4200,교육비,원리금균등,36,1
42,여,4600,9,자가,617,3,3020,25.3,5200,전세자금,원금균등,48,1
54,여,7500,19,전세,640,2,2290,70.1,3400,교육비,만기일시,12,1
50,남,3300,8,월세,534,1,1710,19.2,1100,주택구입,원리금균등,36,1
52,남,3400,19,전세,581,0,2390,20.5,3100,전세자금,원리금균등,24,1
33,남,3300,3,전세,546,1,680,48.5,2000,전세자금,원리금균등,48,1
29,여,3100,4,전세,360,2,1400,81.5,1600,교육비,원금균등,60,0
36,여,5700,7,자가,503,0,2410,55.0,4000,교육비,원리금균등,24,1
38,여,4300,5,전세,517,4,1700,54.4,4400,사업자금,원금균등,12,0
47,여,4000,1,자가,641,2,2600,38.4,5700,주택구입,원금균등,24,1
23,여,1600,0,월세,450,2,600,46.7,2600,전세자금,원리금균등,24,0
51,여,6800,13,전세,647,3,1270,44.9,3200,의료비,원금균등,36,1
36,남,2800,5,전세,571,1,530,14.4,6800,사업자금,원리금균등,36,0
34,남,5800,4,전세,681,3,1010,54.6,8500,자동차,원리금균등,60,0
28,여,2400,0,전세,625,0,940,13.7,5100,전세자금,원리금균등,36,0
23,남,4100,0,월세,536,5,2380,48.4,2500,전세자금,원리금균등,24,0
45,여,5100,15,자가,587,1,1380,46.0,3000,전세자금,원금균등,24,1
38,남,3700,11,자가,538,2,1990,35.5,2700,자동차,원금균등,24,1
26,여,2100,0,전세,501,0,1180,56.3,4200,교육비,원리금균등,24,0
26,남,2500,1,월세,495,0,750,37.5,1900,전세자금,만기일시,48,0
34,남,4000,5,월세,609,1,2040,21.6,3500,전세자금,원리금균등,12,1
53,남,5400,17,자가,672,0,3020,29.2,3500,주택구입,원리금균등,60,1
35,여,2700,3,월세,589,1,1160,45.8,3600,생활비,원리금균등,36,0
24,남,2500,1,전세,630,2,880,54.1,1700,의료비,원금균등,36,0
35,여,3300,7,자가,717,0,1720,49.4,3300,주택구입,만기일시,36,1
35,남,1900,6,월세,558,1,1390,35.6,7200,자동차,원금균등,48,0
23,남,2900,0,월세,616,2,1170,32.7,2300,자동차,만기일시,36,0
37,남,2800,3,전세,514,1,1070,46.4,3400,자동차,원리금균등,36,0
35,남,2600,8,전세,660,4,1110,66.9,1100,의료비,원리금균등,24,1
44,남,2700,3,월세,626,3,520,35.7,3400,사업자금,원리금균등,60,0
54,여,2900,19,전세,704,3,1390,44.6,3300,교육비,원금균등,24,1
48,남,3200,15,월세,614,0,1110,28.8,3100,생활비,원리금균등,36,1
35,여,2600,6,전세,502,1,570,47.0,4300,사업자금,만기일시,36,0
28,남,5400,1,월세,447,1,2320,46.0,2600,자동차,원리금균등,12,1
61,남,5100,10,월세,597,3,770,35.2,5400,주택구입,원리금균등,24,1
38,남,4100,8,자가,703,3,1600,26.0,1900,자동차,원리금균등,24,1
38,남,4400,1,월세,524,2,930,27.5,6100,자동차,원금균등,48,0
37,남,4000,3,전세,617,5,650,63.5,3300,교육비,원리금균등,36,0
39,여,3500,9,전세,647,1,2250,24.2,2800,주택구입,원리금균등,48,1
36,남,2600,3,전세,518,0,1810,31.7,1400,사업자금,원리금균등,48,1
32,여,4600,3,자가,666,0,1260,36.7,1700,주택구입,원금균등,24,1
33,남,6000,5,전세,352,0,2840,35.0,3500,자동차,원금균등,36,0
37,여,2000,6,월세,452,2,630,53.3,2000,전세자금,원금균등,48,0
33,여,2200,1,자가,453,4,980,31.2,4900,사업자금,원리금균등,36,0
31,남,3000,2,전세,474,1,1230,46.5,3400,전세자금,만기일시,36,0
38,여,2600,7,월세,587,0,800,19.2,1400,생활비,원금균등,48,1
35,남,4200,8,전세,605,2,2390,22.5,4300,생활비,원리금균등,12,1
51,여,3700,23,자가,683,0,830,48.0,2700,생활비,원리금균등,48,1
23,여,4200,0,전세,589,0,760,31.6,2900,사업자금,원리금균등,24,1
47,남,6800,1,전세,496,1,4150,39.6,5000,교육비,원리금균등,36,0
49,여,4800,22,전세,560,1,2630,31.0,1400,생활비,만기일시,24,1
23,여,2900,0,월세,560,1,1300,27.9,1700,생활비,원금균등,48,1
34,남,5000,4,전세,519,1,2150,32.5,3500,전세자금,만기일시,36,1
34,여,2600,4,월세,420,3,1160,48.8,1200,자동차,원리금균등,36,0
25,남,2100,1,월세,603,1,860,26.8,2200,생활비,원금균등,48,0
30,여,2800,1,전세,644,1,1080,60.4,4800,주택구입,원리금균등,60,0
28,여,3400,1,월세,663,2,1520,45.6,2800,주택구입,원리금균등,48,1
53,남,5500,12,전세,629,1,2560,64.4,1500,전세자금,원금균등,24,1
46,여,2600,19,전세,671,1,1460,53.6,3200,주택구입,원리금균등,60,1
49,여,3500,13,자가,709,1,2010,29.8,2400,주택구입,원금균등,36,1
44,여,4000,4,자가,508,0,1500,45.3,2100,자동차,원금균등,36,1
27,여,2500,0,전세,613,2,990,48.2,15000,사업자금,원금균등,60,0
33,남,6300,1,전세,590,0,2350,50.0,3900,생활비,원리금균등,24,0
42,여,2500,9,전세,643,2,1170,57.0,2600,사업자금,원금균등,24,1
27,남,3400,1,자가,553,1,1430,7.9,4700,전세자금,만기일시,36,0
44,남,7000,13,전세,738,2,4780,29.8,2500,의료비,만기일시,48,1
35,남,7200,2,전세,599,0,4080,29.3,2300,주택구입,원금균등,36,1
34,남,3100,4,전세,432,2,2130,23.3,3400,자동차,원금균등,36,0
44,여,4700,15,전세,738,3,2700,55.0,3800,자동차,원리금균등,36,1
41,남,5000,3,자가,489,2,3660,33.0,4700,주택구입,원금균등,36,1
34,여,3300,3,월세,648,0,1750,18.1,6100,교육비,원금균등,48,0
48,남,4700,8,자가,579,1,3420,22.3,5400,전세자금,원금균등,24,1
28,남,3400,2,전세,638,0,830,21.7,4600,사업자금,원금균등,48,1
43,여,1800,8,월세,648,2,320,25.0,4800,생활비,원리금균등,48,0
43,남,5300,1,전세,592,3,2630,38.4,5400,주택구입,원리금균등,36,0
35,남,3800,2,전세,588,1,2810,54.1,4200,사업자금,원금균등,36,0
40,여,3400,5,자가,592,1,1360,32.2,1300,주택구입,원리금균등,12,1
26,여,4500,1,월세,388,1,1240,18.6,3800,전세자금,원리금균등,48,1
